Mot;Contexte;Définition;Exemples ;
Syncrétisme ;Didactique;Combinaison de doctrines, de systèmes initialement incompatibles. Synthèse de deux ou plusieurs traits culturels d'origine différente, donnant lieu à des formes culturelles nouvelles.;Le syncrétisme religieux du vaudou.;
Cime;;Extrémité pointue (d'un arbre, d'un rocher, d'une montagne).;La mer la plus profonde a un fond, la montagne la plus haute a une cime.;
Tarir;;Cesser de couler, s’épuiser, faire cesser de couler, mettre à sec.;La conversation tarit : s'arrête parce qu'on a plus rien à se dire.;
Bon an mal an;Expression;En moyenne par an, en compensation faite des bonnes et des mauvaises années, quelque chose se produit régulièrement, en tenant compte des bonnes et des mauvaises années.;;
Ubuesque ;;Qui rappelle le personnage d'Ubu, par un caractère grottesque, cruel et couard.;;
Clouer au pilori;Expression;Désigner à la réprobation publique, condamner violemment (surtout en parlant de l'opinion publique).;Mettre ou clouer au pilori quelqu’un.;
Heuristique ;;Qui sert à la découverte. Partie de la science qui a pour objet les procédures de recherche et de découverte.;Carte heuristique des homophones.;
Trivial;Courant, vieilli ou littéraire;Vulgaire, contraire aux bons usages. Ordinaire, commun, banal.;Détails triviaux.;
Prophylactique ;;Qui prévient la maladie.;Mesures d'hygiène prophylactiques.;
Vacuité ;Didactique;État de ce qui est vide, vide moral, intellectuel.;La vacuité de ses propos.;
Ciconspection ;;Attitude de retenue prudente.;Agir avec de circonspection.;
Lapidaire ;;Artisan qui taille, grave les pierres précieuses ou commerçant en pierres précieuses autres que le diamant.;;
Subsumer;Philosophie scolastique;Rapporter, référer un individu à une espèce. Rapporter, référer une espèce à un genre.;Subsumer les règles du secret médical sous celles du secret professionnel.;
Ad oc;Expression latine;D'une manière qui convient : argument ad hoc. Se dit d'une personne compétente, parfaitement qualifiée pour la tâche qu'on lui confie.;;
Ad hominem;Expression latine;Par lequel on attaque l'adversaire directement dans sa personne en lui opposant ses propres paroles ou ses propres actes.;;
Ad vitam aeternam;Expression latine;Pour toujours, indéfiniment.;;
In fine;Didactique;À la fin (de la page, du chapitre).;"""En fin de compte"" (bourse).";
De facto ;Expression latine;"Signifie ""de fait"", ""en fait"".";;
De jure ;Expression latine;"Signifie ""de droit"", ""en droit"", ""de plein droit"".";;
Doléance ;;Plainte ou réclamation, en général adressées par des subordonnées à un supérieur.;;
Démagogie ;Politique;Politique par laquelle on flatte les masses pour gagner et exploiter leur adhésion.;;
Déontologie ;Didactique;Ensemble de règles et de devoirs régissant une profession.;Code de déontologie des médecins.;
Apodictique ;Logique;Qui a une évidence de droit et non pas seulement de fait.;;
Assertorique ;;Se dit d'un jugement qui énonce une vérité de fait, sans la poser comme nécessaire (par opposition à jugement apodictique).;;
Chaperonnner ;;Accompagner (une jeune fillle) en qualité de chaperon. Accompagner qlqun (surtout une jeune fille) pour le surveiller.;;
Stricto sensu ;Didactique;Au sens strict, restreint.;;
Ésotérique ;Doctrine;Qui se transmet seulement à des adeptes qualifiés. Obscur, incompréhensible pour qui n'appartient pas au petit groupe des initiés.;;
Prolixe ;;Qui est trop long, qui a tendance à délayer dans ses écrits ou ses discours. Un orateur ou ses discours.;Cet homme est trop prolixe en ses discours, en ses raisonnements. ;
Doxa ;Didactique;Ensemble des opinions reçues sans discussion, comme évidentes, dans une civilisation donnée.;;
Aliéner ;Philosophie;Perdre (un droit naturel). Sujet chose : éloigner, rendre hostile.;Aliéner sa liberté. Sa médisance lui ont aliéné ses amis.;
Pavlovien;;Selon la théorie de Pavlov : les réactions acquises par apprentissage et habitude deviennent des réflexes lorsque le cerveau fait les liens entre le signal sonore et l'action qui suit.;;
Maccarthysme ;Politique;Politique de délation et de persécution menée aux États-Unis dans les années 1950, à l'encontre de personnalités taxées de sympathie communiste.;;
Patent ;;Évident, manifeste.;;
Invective ;;Parole ou suite de paroles violentes (contre qqun, qqch).;Heureusement que toutes les invectives au boulot ne remontent pas aux oreilles des juges, sinon les prétoires seraient engorgés !;
Rétif ;Monture;"Qui s'arrête, reufuse d'avancer ; Personnes : difficile à conduire, à persuader.";;
